,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
0,925.0,934.0,552377.0,552388.0,75.0,9.0,11.0,12593.0,150.0,180.0,1387.0,0.0,1.0,40.0,0.6532,0.2424,0.8182,0.0065,1.0,1.0,1.0,1.8751,0.9542,1.0414,0.1818,0.3118,0.2051,0.0
1,89.0,151.0,2584705.0,2584775.0,1909.0,175.0,125.0,245067.0,120.0,140.0,1400.0,0.0,1.0,40.0,0.1271,0.5601,0.8857,0.0443,0.3543,0.56,1.0,3.2808,1.7924,1.8451,0.1143,0.0029,1.0,0.0
2,41.0,218.0,2840169.0,2840236.0,6503.0,264.0,135.0,677593.0,40.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4516,0.3785,0.1303,0.6704,0.4963,0.0,3.8131,2.248,1.8261,-0.6215,-0.18600000000000003,1.0,0.0
3,41.0,193.0,1945494.0,1945637.0,10743.0,652.0,418.0,1239926.0,38.0,142.0,1402.0,0.0,1.0,40.0,0.0585,0.5058,0.9408,0.1084,0.2331,0.3421,0.0,4.0311,2.1818,2.1553,-0.0592,-0.0983,1.0,0.0
4,41.0,211.0,2041748.0,2041815.0,6499.0,263.0,137.0,676562.0,43.0,125.0,1356.0,0.0,1.0,40.0,0.0605,0.4294,0.3941,0.1254,0.6464,0.4891,0.0,3.8128,2.2304,1.8261,-0.6059,-0.1867,1.0,0.0
5,96.0,172.0,728912.0,728995.0,2406.0,231.0,168.0,301138.0,116.0,140.0,1358.0,0.0,1.0,40.0,0.1414,0.6186,0.9157,0.055999999999999994,0.32899999999999996,0.494,1.0,3.3813,1.8808,1.9191,0.0843,-0.0222,1.0,0.0
6,48.0,177.0,377537.0,377585.0,3985.0,166.0,99.0,413005.0,41.0,126.0,1362.0,0.0,1.0,40.0,0.0705,0.3564,0.3721,0.0947,0.7771,0.4848,0.0,3.6004,2.1106,1.6812,-0.6279,-0.1903,1.0,0.0
7,39.0,181.0,2563319.0,2563376.0,5261.0,190.0,107.0,553974.0,46.0,127.0,1400.0,0.0,1.0,40.0,0.0557,0.35,0.4014,0.1014,0.7474,0.5327,0.0,3.7211,2.1523,1.7559,-0.5986,-0.1774,1.0,0.0
8,39.0,219.0,1516553.0,1516628.0,6999.0,285.0,165.0,732196.0,43.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.4816,0.4167,0.1326,0.6316,0.4545,0.0,3.845,2.2553,1.8751,-0.5833,-0.1827,1.0,0.0
9,250.0,373.0,3629947.0,3630060.0,6114.0,320.0,197.0,633741.0,40.0,134.0,1666.0,0.0,1.0,40.0,0.3001,0.5601,0.9187,0.0738,0.3844,0.5736,0.0,3.7863,2.0899,2.0531,-0.0813,-0.1902,1.0,0.0
10,39.0,193.0,1902883.0,1903031.0,11510.0,699.0,429.0,1330937.0,40.0,141.0,1402.0,0.0,1.0,40.0,0.0556,0.495,0.961,0.1098,0.2203,0.345,0.0,4.0611,2.1875,2.1703,-0.039,-0.0966,1.0,0.0
11,43.0,200.0,696884.0,696948.0,6059.0,206.0,129.0,626256.0,45.0,125.0,1358.0,0.0,1.0,40.0,0.0633,0.397,0.4076,0.1156,0.7621,0.4961,0.0,3.7824,2.1959,1.8062,-0.5924,-0.1925,1.0,0.0
12,64.0,203.0,7765518.0,7765576.0,4364.0,185.0,108.0,479531.0,74.0,132.0,1360.0,0.0,1.0,40.0,0.0941,0.4587,0.4173,0.1022,0.7513,0.537,0.0,3.6399,2.1430000000000002,1.7634,-0.5827,-0.1415,1.0,0.0
13,39.0,192.0,1586862.0,1587011.0,11505.0,577.0,349.0,1320194.0,27.0,142.0,1402.0,0.0,1.0,40.0,0.0556,0.4953,0.9739,0.1091,0.2652,0.4269,0.0,4.0609,2.1847,2.1732,-0.0261,-0.1035,1.0,0.0
14,41.0,210.0,2556287.0,2556352.0,6234.0,219.0,125.0,649139.0,43.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4325,0.3846,0.1244,0.7717,0.52,0.0,3.7948,2.2279,1.8129,-0.6154,-0.1865,1.0,0.0
15,37.0,181.0,210633.0,210681.0,4487.0,219.0,106.0,470618.0,40.0,127.0,1360.0,0.0,1.0,40.0,0.0544,0.3508,0.3333,0.1059,0.6575,0.4528,0.0,3.6519999999999997,2.1584,1.6812,-0.6667,-0.1806,1.0,0.0
16,39.0,195.0,2431945.0,2432111.0,8709.0,578.0,322.0,996980.0,47.0,141.0,1402.0,0.0,1.0,40.0,0.0556,0.6637,0.9398,0.1113,0.2699,0.5155,1.0,3.94,2.1931,2.2201,0.0602,-0.1057,1.0,0.0
